                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0438,                 5.1555,                 4.2063,                      0,                      0,                      0,                      0,                 2.8008,                 4.7038,                 4.1215,             8.2418e-05,             8.2418e-05,             8.2418e-05
                      2,                 3.0569,                   5.04,                 4.1258,                0.00999,                0.18917,                0.00738,                0.00234,                 2.7381,                 4.5444,                 3.9482,             0.00016411,             0.00016411,             0.00016411
                      3,                 2.9422,                 4.8303,                 3.9355,                 0.4401,                0.06102,                0.00565,                0.00183,                 2.6511,                 5.7458,                 3.6746,             0.00024415,             0.00024415,             0.00024415
                      4,                 2.7857,                 4.5968,                 3.6666,                0.00379,                0.30686,                 0.0138,                0.00402,                 2.5399,                 4.3214,                 3.6613,             0.00024258,             0.00024258,             0.00024258
                      5,                 2.6239,                 4.4048,                 3.4158,                0.41219,                 0.0383,                0.02157,                0.00645,                 2.4951,                 3.9964,                 3.4629,              0.0002401,              0.0002401,              0.0002401
                      6,                  2.516,                 4.2331,                 3.2496,                0.47866,                0.05033,                0.02601,                0.00896,                 2.4031,                  3.644,                 3.2243,             0.00023763,             0.00023763,             0.00023763
                      7,                 2.3823,                 4.0742,                 3.0884,                0.53084,                0.06337,                0.05158,                0.01803,                 2.3484,                 3.3252,                 3.1623,             0.00023515,             0.00023515,             0.00023515
                      8,                 2.3035,                 4.0133,                 2.9801,                0.56505,                0.09694,                0.05708,                0.02093,                 2.2512,                 3.3827,                 3.0148,             0.00023268,             0.00023268,             0.00023268
                      9,                 2.2014,                 3.8622,                 2.8622,                0.55154,                0.12652,                0.07707,                0.02931,                 2.1328,                 3.2934,                 2.8797,              0.0002302,              0.0002302,              0.0002302
                     10,                 2.0945,                  3.776,                 2.7613,                0.40491,                0.11579,                0.08123,                0.03367,                 2.0794,                 3.1104,                 2.8314,             0.00022773,             0.00022773,             0.00022773
                     11,                 2.0267,                 3.6546,                 2.6908,                0.37822,                0.19216,                0.09407,                0.03733,                 2.0899,                 3.1383,                 2.8014,             0.00022525,             0.00022525,             0.00022525
                     12,                   1.97,                 3.6171,                 2.6424,                 0.4915,                0.15437,                0.12277,                0.04431,                 2.1234,                 2.9092,                 2.8548,             0.00022278,             0.00022278,             0.00022278
                     13,                 1.9627,                 3.5676,                 2.5908,                 0.3467,                0.17142,                0.11238,                 0.0497,                 2.0013,                 2.9449,                 2.6838,              0.0002203,              0.0002203,              0.0002203
                     14,                 1.9082,                  3.505,                 2.5483,                0.43393,                0.20573,                0.13606,                0.04835,                 2.1546,                 2.9287,                 2.8154,             0.00021782,             0.00021782,             0.00021782
                     15,                 1.8832,                 3.3993,                 2.5122,                0.48568,                0.22321,                0.15268,                0.06024,                 2.0816,                 2.8092,                  2.773,             0.00021535,             0.00021535,             0.00021535
                     16,                 1.8577,                 3.4253,                 2.4847,                0.45602,                0.24765,                0.16021,                0.06496,                 2.0724,                 2.8264,                 2.6993,             0.00021288,             0.00021288,             0.00021288
                     17,                 1.8524,                 3.3074,                  2.461,                0.42191,                0.26196,                0.19506,                0.07705,                 2.0411,                 2.7544,                 2.7003,              0.0002104,              0.0002104,              0.0002104
                     18,                 1.8148,                 3.2925,                  2.444,                0.47312,                 0.2484,                0.18965,                0.08333,                 1.9513,                 2.8065,                 2.6257,             0.00020792,             0.00020792,             0.00020792
                     19,                 1.7999,                 3.2701,                 2.4188,                0.41179,                0.29929,                0.21042,                0.09573,                 1.8513,                 2.4737,                 2.4809,             0.00020545,             0.00020545,             0.00020545
                     20,                 1.7875,                 3.1934,                 2.4009,                0.43958,                0.24732,                0.18329,                0.07736,                 1.9861,                 2.6883,                 2.6281,             0.00020298,             0.00020298,             0.00020298
                     21,                 1.7844,                 3.2209,                 2.3683,                0.42571,                0.28862,                0.23085,                0.09987,                 1.9796,                 2.5387,                 2.5857,              0.0002005,              0.0002005,              0.0002005
                     22,                 1.7453,                 3.1069,                 2.3541,                0.46983,                0.33059,                0.22834,                0.09181,                  1.957,                 2.5011,                 2.6202,             0.00019803,             0.00019803,             0.00019803
                     23,                 1.7318,                  3.118,                 2.3418,                0.46579,                0.31564,                0.25748,                0.10478,                  1.988,                 2.4185,                 2.6372,             0.00019555,             0.00019555,             0.00019555
                     24,                 1.7315,                 3.0679,                  2.331,                0.44837,                0.27787,                0.24407,                 0.1018,                  1.958,                 2.4416,                 2.5643,             0.00019307,             0.00019307,             0.00019307
                     25,                 1.7154,                  3.031,                 2.3164,                0.41726,                0.33471,                0.28308,                 0.1152,                 2.0105,                 2.3092,                 2.6231,              0.0001906,              0.0001906,              0.0001906
                     26,                 1.7037,                 3.0154,                 2.2919,                0.54556,                0.30488,                 0.2724,                0.10792,                 1.9504,                 2.4142,                 2.6064,             0.00018812,             0.00018812,             0.00018812
                     27,                 1.6973,                 2.9685,                 2.2896,                0.51654,                0.34823,                0.31132,                0.12414,                 1.9989,                 2.2979,                 2.6191,             0.00018565,             0.00018565,             0.00018565
                     28,                 1.6678,                 2.9281,                 2.2724,                0.42712,                0.35561,                0.28577,                0.12527,                 1.8432,                 2.2079,                 2.5027,             0.00018318,             0.00018318,             0.00018318
